videoId,title,lengthSeconds,channelId,author,keywords,publish_date,official
https://youtu.be/G6M-IIFwqgU,𝟐𝟗－𝟏𝟏｜腐草為螢 • 銀臨｜李李鈴蘭 Linglan Lily,247,UCWmCWSajQNMvNdLltGJwuiw,蘭蘭音樂盒 Lanlan Music Box,"鈴蘭, 蘭蘭, 玲蘭, 李李, 玲藍, 歌回",2022-06-10,FALSE
https://youtu.be/QRFG1LnmkmY,𝟐𝟗－𝟏𝟎｜旭日微光 • 李李鈴蘭｜李李鈴蘭 Linglan Lily,165,UCWmCWSajQNMvNdLltGJwuiw,蘭蘭音樂盒 Lanlan Music Box,"鈴蘭, 蘭蘭, 玲蘭, 李李, 玲藍, 歌回",2022-06-10,FALSE
https://youtu.be/ITzBtEXsIb0,𝟐𝟗－𝟎𝟗｜是我不夠好 Not Good Enough • 李毓芬｜李李鈴蘭 Linglan Lily,205,UCWmCWSajQNMvNdLltGJwuiw,蘭蘭音樂盒 Lanlan Music Box,"鈴蘭, 蘭蘭, 玲蘭, 李李, 玲藍, 歌回",2022-06-10,FALSE
https://youtu.be/pJDY1hBOScs,𝟐𝟗－𝟎𝟖｜玫瑰少年 • 蔡依林｜李李鈴蘭 Linglan Lily,192,UCWmCWSajQNMvNdLltGJwuiw,蘭蘭音樂盒 Lanlan Music Box,"鈴蘭, 蘭蘭, 玲蘭, 李李, 玲藍, 歌回",2022-06-09,FALSE
https://youtu.be/DLeNGvXr354,𝟐𝟗－𝟎𝟕｜丹青 • 音闕詩聽 & 咬人貓｜李李鈴蘭 Linglan Lily,191,UCWmCWSajQNMvNdLltGJwuiw,蘭蘭音樂盒 Lanlan Music Box,"鈴蘭, 蘭蘭, 玲蘭, 李李, 玲藍, 歌回",2022-06-09,FALSE
https://youtu.be/ja1Xpvm75Ok,𝟐𝟗－𝟎𝟔｜Rude • MAGIC!｜李李鈴蘭 Linglan Lily,156,UCWmCWSajQNMvNdLltGJwuiw,蘭蘭音樂盒 Lanlan Music Box,"鈴蘭, 蘭蘭, 玲蘭, 李李, 玲藍, 歌回",2022-06-09,FALSE
https://youtu.be/Cn9jiGRHcT0,𝟐𝟗－𝟎𝟓｜春風吹 • 方大同｜李李鈴蘭 Linglan Lily,125,UCWmCWSajQNMvNdLltGJwuiw,蘭蘭音樂盒 Lanlan Music Box,"鈴蘭, 蘭蘭, 玲蘭, 李李, 玲藍, 歌回",2022-06-09,FALSE
https://youtu.be/-6D2M3dvZls,𝟐𝟗－𝟎𝟒｜Something Just Like This • The Chainsmokers & Coldplay｜李李鈴蘭 Linglan Lily,240,UCWmCWSajQNMvNdLltGJwuiw,蘭蘭音樂盒 Lanlan Music Box,"鈴蘭, 蘭蘭, 玲蘭, 李李, 玲藍, 歌回",2022-06-09,FALSE
https://youtu.be/epQi-vJek3Y,𝟐𝟗－𝟎𝟑｜All We Know • The Chainsmokers｜李李鈴蘭 Linglan Lily,193,UCWmCWSajQNMvNdLltGJwuiw,蘭蘭音樂盒 Lanlan Music Box,"鈴蘭, 蘭蘭, 玲蘭, 李李, 玲藍, 歌回",2022-06-09,FALSE
https://youtu.be/H2RMux96hUQ,𝟐𝟗－𝟎𝟐｜東風志 • 銀臨 ＆ 慕寒｜李李鈴蘭 Linglan Lily,265,UCWmCWSajQNMvNdLltGJwuiw,蘭蘭音樂盒 Lanlan Music Box,"鈴蘭, 蘭蘭, 玲蘭, 李李, 玲藍, 歌回",2022-06-09,FALSE
https://youtu.be/fft8Bg2I-YM,𝟐𝟗－𝟎𝟏｜Ring Ring Ring • S.H.E｜李李鈴蘭 Linglan Lily,199,UCWmCWSajQNMvNdLltGJwuiw,蘭蘭音樂盒 Lanlan Music Box,"鈴蘭, 蘭蘭, 玲蘭, 李李, 玲藍, 歌回",2022-06-09,FALSE
https://youtu.be/m2BHVxBFdX0,【精華】群青《拼湊版》• YOASOBI｜李李鈴蘭 & 浠Mizuki & KSP & 蘆棠布奈,71,UCWmCWSajQNMvNdLltGJwuiw,蘭蘭音樂盒 Lanlan Music Box,"鈴蘭, 蘭蘭, 玲蘭, 李李, 玲藍, 歌回",2022-06-07,FALSE
